fas,Recall,F1,AUC,Accuracy,Precision
6-1,0.7142857142857143,0.6872944833803633,0.6862567811934901,0.6853641189683963,0.6622688512988045
6-1,1.0,0.8707913097129462,0.8857142857142857,0.8524812578063298,0.7711517961233403
6-1,0.8571428571428571,0.8059946470144977,0.8838095238095238,0.7948792110695109,0.7606070118683286
6-1,0.7142857142857143,0.6963551736999526,0.7362637362637363,0.6964446773685039,0.6793028006871139
6-1,1.0,0.9026115782261308,0.8849206349206349,0.8905199054462282,0.8225087492422309
6-1,0.8571428571428571,0.790954464802938,0.8283582089552239,0.7619997806440125,0.7342554150645978
6-1,0.8571428571428571,0.7860392923902692,0.7039170506912442,0.7459013504402252,0.7258287767273872
6-1,0.7142857142857143,0.6872578416785406,0.653781512605042,0.6972255506080761,0.6622008108597428
6-1,0.8571428571428571,0.7812027643157821,0.8270676691729324,0.7629346272909832,0.7176236254612782
6-1,1.0,0.891732254738242,0.9076190476190475,0.8792977144085867,0.8046180704533874
6-1,0.5714285714285714,0.5945666540709039,0.6468253968253967,0.6046672926381883,0.6196576097953451
6-1,0.8571428571428571,0.8111246010280744,0.8446428571428571,0.8080175048513123,0.7697958291365603
6-1,0.7142857142857143,0.6963544316039822,0.8040293040293041,0.6964446210025816,0.6793013882964899
6-1,1.0,0.8557325884125219,0.8851351351351351,0.8312460201651041,0.7698436024948132
6-1,0.42857142857142855,0.4817469747381248,0.5783410138248848,0.5909631303003565,0.5499873569494415
6-1,0.5714285714285714,0.5946453454710368,0.6291585127201565,0.6073411399590236,0.6198285806495408
6-1,0.7142857142857143,0.7056972090097762,0.7551020408163265,0.7076711020950596,0.6973127846676401
6-1,0.7142857142857143,0.7300106863116753,0.7578849721706864,0.7407431594877788,0.7464436132233271
6-1,0.8571428571428571,0.8009959707279722,0.8518518518518519,0.7963885758935175,0.7793929597968164
8-1,0.7142857142857143,0.7246745574615533,0.7944015444015444,0.7287725320141822,0.7353700593738118
8-1,0.7142857142857143,0.7053135911584191,0.7609523809523809,0.7037334032003937,0.6965640691264658
8-1,0.7142857142857143,0.719739415003627,0.7422779922779923,0.7220118535382656,0.7252770364557936
8-1,0.8571428571428571,0.8108537447072832,0.8134328358208955,0.7902361031837178,0.7693080595628047
8-1,0.8571428571428571,0.7713360428955187,0.7996289424860854,0.7511141716368013,0.715399113005524
8-1,0.7142857142857143,0.7197260965856358,0.7428571428571429,0.7142857142857143,0.7252499886675472
8-1,0.8571428571428571,0.7856833026429306,0.8970315398886828,0.7709933267945626,0.7252219274828451
8-1,0.5714285714285714,0.5819606376986525,0.6080586080586081,0.6005814320127746,0.5928882294137925
8-1,0.8571428571428571,0.8056961102462186,0.8524436090225564,0.79615773485568,0.7600754651550145
8-1,0.42857142857142855,0.4888949670854667,0.7077067669172932,0.5581600643805541,0.5689819823069343
8-1,0.8571428571428571,0.7808895274582078,0.7781385281385281,0.7458630642599116,0.7170951522240985
8-1,0.7142857142857143,0.7148516658604782,0.7534013605442177,0.7332839256602264,0.7154185149897215
8-1,0.8571428571428571,0.7761169374261483,0.8351648351648352,0.7593573392591321,0.7090867929427934
8-1,0.42857142857142855,0.4707646222575642,0.5977443609022557,0.524796135700104,0.5221729602385862
8-1,1.0,0.8654215121520218,0.9113924050632912,0.8496260195725838,0.7627691882238291
8-1,0.8571428571428571,0.7809459411517458,0.8497217068645639,0.7644061981375022,0.7171903036182345
8-1,1.0,0.8861907099231309,0.9061224489795918,0.8680307882128582,0.7956395388495734
8-1,0.7142857142857143,0.7197949234994337,0.7349624060150376,0.7257171282615881,0.7253897771608553
8-1,0.7142857142857143,0.6915378255471277,0.6951219512195121,0.6977988110789878,0.6701941236459928
8-1,1.0,0.8176566075543212,0.8562030075187971,0.779983292391741,0.6915559496323631
