datum,bana,avd,häst,kön,ålder,kusk,spår,vodds,podds,plac,start,lopp_dist,dist,tid,kr,h1_dat,h1_bana,h1_kusk,h1_plac,h1_dist,h1_spår,h1_kmtid,h1_odds,h1_pris,h2_dat,h2_bana,h2_kusk,h2_plac,h2_dist,h2_spår,h2_kmtid,h2_odds,h2_pris,h3_dat,h3_bana,h3_kusk,h3_plac,h3_dist,h3_spår,h3_kmtid,h3_odds,h3_pris,h4_dat,h4_bana,h4_kusk,h4_plac,h4_dist,h4_spår,h4_kmtid,h4_odds,h4_pris,h5_dat,h5_bana,h5_kusk,h5_plac,h5_dist,h5_spår,h5_kmtid,h5_odds,h5_pris
2020-04-18,UMÅKER,6,CORRODED,v,8,Erik Adielsson,6,"10,72","2,27 - 4,40",0,AUTOSTART,2140M,2140,"1.13,1",16 635,200405,Umåker,Robert Bergh,2,2640,5,"16,5a","2,57",35',200321,Bergsåker,Erik Adielsson,5,2140,7,"15,4","29,89",75',200307,Cagnes sur Mer,David Bekaert,d,1609,,-a,"8,50",,200225,Belgien,Nico d'Haenens,1,2300,,"15,7a","7,60",,191218,Solvalla,Emilia Leo,5,2140,3,"14,8a","9,05",100'
2020-04-18,UMÅKER,6,LEXINGTON TOOMA,v,5,Magnus A Djuse,12,"24,05","3,30 - 6,78",0,AUTOSTART,2140M,2140,"1.13,1",20 730,200405,Umåker,Magnus A Djuse,3,2640,1,"16,5a","3,31",35',200326,Boden,Magnus A Djuse,2,2140,15,"15,0a","2,73",25',191118,Umåker,Ove A Lindqvist,3,1640,2,"14,3","3,08",30',191005,Skellefteå,Ulf Ohlsson,0,2140,7,"14,6a","18,52",125',190919,Boden,Ove A Lindqvist,2,1660,6,"13,2","4,15",100'
2020-04-18,UMÅKER,6,WASA THUNDER,v,8,Hannu Torvinen,10,"49,95","4,93 - 10,34",0,AUTOSTART,2140M,2140,"1.13,8",8 830,200411,Dannero,Hannu Torvinen,0,1640,5,"14,0a","21,87",75',200405,Umåker,John Östman,4,2640,10,"16,8a","25,81",35',200326,Boden,John Östman,2,3180,1,"17,2","6,07",25',200320,Umåker,Oskar Florhed,1,2680,1,"16,8","6,15",10',200308,Umåker,Rikard N Skoglund,3,2660,2,"20,2","23,87",35'
2020-04-18,UMÅKER,7,ATTRAVERSIAMO,h,5,Erik Adielsson,1,"1,41","1,11",1,AUTOSTART,2140M,2140,"1.12,3",456 305,190901,Jägersro,Erik Adielsson,1,2640,6,"12,6a","5,82",2000',190821,Jägersro,Erik Adielsson,2,2640,5,"13,2a","1,45",200',190718,Bergsåker,Erik Adielsson,1,2140,2,"12,3a","1,09",250',190619,Solvalla,Erik Adielsson,1,2140,4,"10,5a","1,28",400',190511,Åby,Erik Adielsson,2,2140,2,"10,7a","3,88",1150'
2020-04-18,UMÅKER,7,MAXUS,h,5,Örjan Kihlström,6,"13,24","1,86",2,AUTOSTART,2140M,2140,"1.12,3",86 772,200410,Färjestad,Kenneth Haugstad,0,1640,6,"17,7ag","64,44",250',191027,Solvalla,Örjan Kihlström,0,2140,8,"13,2a","7,77",200',191013,Hamburg,Kenneth Haugstad,2,2200,,"13,5a","10,28",,190912,Örebro,Örjan Kihlström,1,2100,3,"12,6a","14,34",125',190730,Jägersro,Björn Goop,d,1640,8,8ag,"26,71",200'
2020-04-18,UMÅKER,7,STOLETHESHOW,h,5,Rikard N Skoglund,4,"12,23","1,66",3,AUTOSTART,2140M,2140,"1.12,5",80 473,200410,Färjestad,Christoffer Eriksson,0,1640,10,"17,6ag","26,89",250',200222,Axevalla,Christoffer Eriksson,3,2640,10,"15,0a","18,57",150',200212,Åby,Christoffer Eriksson,1,2140,6,"14,0a","2,42",60',200118,Kalmar,Christoffer Eriksson,d,2140,9,3ag,"21,09",150',191221,Halmstad,Rikard N Skoglund,3,2140,9,"13,3a","12,68",200'
2020-04-18,UMÅKER,7,TITO C.A.,v,5,Ulf Ohlsson,2,"70,20","3,98 - 12,82",4,AUTOSTART,2140M,2140,"1.12,6",54 833,200318,Solvalla,Per Lennartsson,0,2140,5,"13,9a","162,54",100',191217,Solvalla,Ulf Ohlsson,0,2140,6,"14,4a",,100',191127,Solvalla,Ulf Ohlsson,4,2140,6,"12,8a","28,46",300',191120,Solvalla,Carl Johan Jepson,d,2140,6,10ag,"82,57",70',191029,Solvalla,Ulf Ohlsson,0,2640,7,"14,6a","68,45",100'
2020-04-18,UMÅKER,7,IM YOUR CAPTAIN,h,5,Jorma Kontio,5,"29,64","2,42 - 7,25",5,AUTOSTART,2140M,2140,"1.12,9",53 693,200410,Färjestad,Jorma Kontio,0,1640,1,"11,2a","40,37",250',200318,Solvalla,Jorma Kontio,5,2140,3,"13,9a","28,96",100',191217,Solvalla,Per Lennartsson,4,2140,5,"13,8a",,100',191127,Solvalla,Jorma Kontio,1,2140,1,"11,8a","12,22",300',191120,Solvalla,Jorma Kontio,3,2140,9,"13,7a","67,41",70'
2020-04-18,UMÅKER,7,REMARKABLE FEET,h,5,Jörgen Westholm,7,"20,44","1,92 - 5,37",6,AUTOSTART,2140M,2140,"1.13,5",46 304,200229,Bergsåker,Jörgen Westholm,7,2140,1,"14,4a","6,05",125',200208,Solvalla,Jörgen Westholm,1,2140,11,"12,6a","35,17",220',200201,Åby,Jörgen Westholm,1,2140,5,"15,1","8,05",150',200125,Eskilstuna,Erik Adielsson,3,2640,1,"15,3a","6,68",110',200111,Bergsåker,Jörgen Westholm,5,2140,8,"16,2","6,15",110'
2020-04-18,UMÅKER,7,THRUST CONTROL,h,5,Björn Goop,3,"13,51","1,62 - 4,30",d,AUTOSTART,2140M,2140,7g,35 563,191217,Solvalla,Ulf Eriksson,5,2140,2,"13,9a",,100',191214,Bergsåker,Ulf Eriksson,0,1640,8,"15,4a","34,90",150',191130,Gävle,Carl Johan Jepson,0,1640,2,"13,1a","3,83",150',191119,Solvalla,Carl Johan Jepson,1,1640,5,"11,2a","7,60",60',191106,Solvalla,Örjan Kihlström,4,2160,4,"14,2","2,43",60'
2020-04-18,UMÅKER,7,EVEN'S COOL BOY,h,5,Robert Dunder,8,"7,70","1,36 - 3,00",d,AUTOSTART,2140M,2140,vänd,57 973,200401,Bergsåker,Robert Dunder,1,2140,7,"12,6a","37,50",60',190906,Umåker,Robert Dunder,1,2140,10,"13,9a","2,02",110',190814,Solvalla,Örjan Kihlström,4,1660,2,"11,7","7,26",300',190718,Bergsåker,Robert Dunder,2,2140,7,"12,4a","57,74",250',190622,Skellefteå,Robert Dunder,2,2140,1,"13,8a","3,23",35'
