,datum,bana,avd,häst,kön,ålder,kusk,spår,vodds,podds,plac,start,lopp_dist,dist,tid,kr,h1_dat,h1_bana,h1_kusk,h1_plac,h1_dist,h1_spår,h1_kmtid,h1_odds,h1_pris,h2_dat,h2_bana,h2_kusk,h2_plac,h2_dist,h2_spår,h2_kmtid,h2_odds,h2_pris,h3_dat,h3_bana,h3_kusk,h3_plac,h3_dist,h3_spår,h3_kmtid,h3_odds,h3_pris,h4_dat,h4_bana,h4_kusk,h4_plac,h4_dist,h4_spår,h4_kmtid,h4_odds,h4_pris,h5_dat,h5_bana,h5_kusk,h5_plac,h5_dist,h5_spår,h5_kmtid,h5_odds,h5_pris
97,2020-03-28,SOLVALLA,2,DIGITAL CLASS,s,5,Örjan Kihlström,8,"49,51","6,23 - 11,03",0,AUTOSTART,2140M,2140,"1.13,5",12 882,200318,Solvalla,Per Lennartsson,0,1640,8,"13,6a","13,27",60',200229,Bergsåker,Örjan Kihlström,3,2140,3,"14,2a","10,88",110',200215,Mantorp,Carl Johan Jepson,d,1640,3,9ag,"5,17",110',200125,Eskilstuna,Rikard N Skoglund,3,2140,12,"15,0","21,17",110',200115,Solvalla,Ulf Ohlsson,1,1640,8,"13,0","7,51",60'
98,2020-03-28,SOLVALLA,2,MELLBY GUARD,v,5,Peter Untersteiner,7,"24,95","4,26 - 7,50",0,AUTOSTART,2140M,2140,"1.13,5",18 948,200305,Åby,Peter Untersteiner,0,2140,1,"17,8ag","1,80",35',200215,Mantorp,Peter Untersteiner,1,1640,11,"12,4a","8,92",110',200206,Åby,Peter Untersteiner,1,1640,2,"12,2a","1,78",35',200118,Kalmar,Peter Untersteiner,5,2140,12,"13,4a","27,81",110',200104,Jägersro,Peter Untersteiner,6,1640,10,"13,4a","9,25",110'
99,2020-03-28,SOLVALLA,2,CORLEONE D.K.,v,6,Henna Halme,5,"11,36","2,74 - 4,60",0,AUTOSTART,2140M,2140,"1.13,7g",10 536,200315,Axevalla,Henna Halme,1,1640,5,"13,7a","1,88",35',200307,Färjestad,Henna Halme,5,2140,9,"14,3g","6,15",110',200222,Axevalla,Henna Halme,6,2640,4,"16,3a","5,89",110',200215,Mantorp,Henna Halme,6,1640,1,"13,0a","5,93",110',200129,Åby,Henna Halme,1,2640,4,"15,4a","2,49",30'
100,2020-03-28,SOLVALLA,2,MY SWEDEN,v,4,Mika Forss,10,"8,56","1,87 - 2,95",d,AUTOSTART,2140M,2140,ug,29 428,200318,Solvalla,Mika Forss,1,2140,6,"14,5a","1,94",60',200229,Bergsåker,Mika Forss,2,2140,9,"14,2a","8,90",110',200129,Solvalla,Mika Forss,1,2140,1,"13,2a","3,01",60',191204,Solvalla,Örjan Kihlström,1,2140,5,"16,3a","3,79",70',191122,Romme,Ulf Eriksson,1,2140,2,"14,6a","5,60",100'
101,2020-03-28,SOLVALLA,3,DOM PERIGNON,v,6,Torbjörn Jansson,1,"14,94","2,45",1,AUTOSTART,2140M,2140,"1.13,2",33 068,200229,Bergsåker,Torbjörn Jansson,2,2140,7,"13,7a","17,57",125',200215,Mantorp,Torbjörn Jansson,3,2640,6,"15,8a","37,54",125',200125,Eskilstuna,Kenneth Haugstad,0,2140,4,"14,0a","14,51",125',200108,Solvalla,Mattias Djuse,3,2640,7,"15,6a","2,93",60',191228,Romme,Torbjörn Jansson,d,2140,3,uag,"5,99",150'
102,2020-03-28,SOLVALLA,3,NIKY FLAX,v,7,Johan Untersteiner,2,"7,34","1,90",2,AUTOSTART,2140M,2140,"1.13,3",23 887,200314,Halmstad,Johan Untersteiner,4,2140,7,"14,4a","13,86",125',200222,Axevalla,Johan Untersteiner,6,2140,12,"14,3a","19,93",125',200208,Solvalla,Johan Untersteiner,6,2140,7,"13,6a","14,81",250',200118,Kalmar,Johan Untersteiner,1,1640,1,"12,5a","3,48",125',200104,Jägersro,Örjan Kihlström,3,2140,3,"13,8a","8,23",125'
103,2020-03-28,SOLVALLA,3,MAN AT WORK,v,7,Örjan Kihlström,5,"2,54","1,47",3,AUTOSTART,2140M,2140,"1.13,4",29 395,200307,Färjestad,Örjan Kihlström,1,1640,8,"11,1a","2,23",125',200229,Bergsåker,Örjan Kihlström,3,2140,10,"14,1a","2,88",125',200208,Solvalla,Örjan Kihlström,2,2140,10,"12,6a","4,04",220',200118,Kalmar,Örjan Kihlström,2,1640,3,"11,2a","1,87",110',191226,Solvalla,Örjan Kihlström,4,2140,12,"12,8a","5,50",250'
104,2020-03-28,SOLVALLA,3,MARTIN DE BOS,h,6,Erik Adielsson,7,"4,91","1,61 - 2,44",4,AUTOSTART,2140M,2140,"1.13,4",52 049,200314,Halmstad,Erik Adielsson,1,2140,1,"14,1a","2,73",125',200222,Axevalla,Erik Adielsson,2,2140,10,"14,2a","2,16",125',200215,Mantorp,Peter Ingves,5,2640,7,"15,9a","4,18",125',200104,Jägersro,Peter Ingves,5,2140,10,"14,1a","3,04",125',191226,Solvalla,Mika Forss,3,2140,11,"12,8a","6,23",300'
105,2020-03-28,SOLVALLA,3,REVEREND WINE,v,7,Carl Johan Jepson,8,"15,42","3,25 - 5,51",5,AUTOSTART,2140M,2140,"1.13,4",36 728,200311,Bergsåker,Rikard N Skoglund,1,3180,5,"16,2","2,41",60',200226,Solvalla,Örjan Kihlström,6,2160,5,"13,1","3,31",100',200215,Mantorp,Carl Johan Jepson,1,2640,2,"15,6a","3,29",125',191231,Axevalla,Carl Johan Jepson,3,2140,2,"14,3a","2,65",100',191223,Mantorp,Carl Johan Jepson,1,2640,7,"14,5a","3,80",100'
106,2020-03-28,SOLVALLA,3,HIGHSPIRIT,v,12,Troels Andersen,10,"64,06","7,87 - 14,09",6,AUTOSTART,2140M,2140,"1.13,5",17 010,200307,Färjestad,Troels Andersen,2,1640,4,"11,2a","3,26",125',200213,Örebro,Troels Andersen,d,2100,9,7ag,"4,07",35',200129,Solvalla,Troels Andersen,3,1640,2,"12,3a","2,48",60',200110,Gävle,Troels Andersen,1,1640,8,"11,8a","7,60",35',191228,Romme,Troels Andersen,2,2140,2,"14,8a","3,25",30'
